Ref,Val,Package,PosX,PosY,Rot,Side
"","","",175.050000,-87.450000,0.000000,top
"","","",175.100000,-18.000000,0.000000,top
"C1","1.0u","C_1206_3216Metric",137.875000,-69.200000,180.000000,top
"C2","1.0u","C_1206_3216Metric",137.900000,-62.000000,0.000000,top
"C3","10u","C_1206_3216Metric",130.500000,-62.000000,180.000000,top
"C4","47u/16V","CP_Elec_5x5.3",155.900000,-67.000000,0.000000,top
"C5","10n","C_1206_3216Metric",155.900000,-62.800000,0.000000,top
"C6","100n","C_1206_3216Metric",171.100000,-62.400000,90.000000,top
"C7","22n","C_1206_3216Metric",174.000000,-56.800000,-90.000000,top
"C8","100n","C_1206_3216Metric",138.100000,-85.400000,-90.000000,top
"C9","47u/16V","CP_Elec_5x5.3",144.600000,-67.100000,90.000000,top
"C10","220n","C_1206_3216Metric",149.000000,-62.700000,90.000000,top
"C11","100n","C_1206_3216Metric",95.600000,-67.700000,180.000000,top
"C12","1u","C_1206_3216Metric",114.500000,-62.100000,0.000000,top
"C13","100n","C_1206_3216Metric",125.400000,-21.200000,-90.000000,top
"C14","0.1u","C_1206_3216Metric",154.000000,-44.800000,90.000000,top
"C15","0.1u","C_1206_3216Metric",164.500000,-37.662500,-90.000000,top
"C16","10n","C_1206_3216Metric",165.700000,-44.800000,90.000000,top
"D1","BAT60A","D_SOD-323",128.200000,-72.200000,90.000000,top
"D2","LED","LED_1206_3216Metric",126.600000,-66.720000,-90.000000,top
"D5","SSB43L","D_SMB",166.800000,-69.500000,90.000000,top
"D6","SSB43L","D_SMB",171.700000,-69.500000,-90.000000,top
"IC1","CN3791","SSOP10",167.900000,-58.827000,180.000000,top
"IC2","DW01A","SOT23-6",135.200000,-85.400000,180.000000,top
"J1","I2C","JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical",101.550000,-20.375000,0.000000,top
"J2","PANEL","TerminalBlock_Altech_AK300-2_P5.00mm",142.135000,-77.900000,0.000000,top
"J3","BAT","JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",125.150000,-82.025000,180.000000,top
"J4","ANT","SMA_Amphenol_901-144_Vertical",138.200000,-20.900000,0.000000,top
"J5","PT1000","JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical",171.700000,-49.100000,90.000000,top
"L1","82u","L_12x12mm_H8mm",157.200000,-77.500000,90.000000,top
"P1","USB_C_Plug_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",113.000000,-83.360000,0.000000,top
"Q1","IRLML6401","SOT-23",132.500000,-72.200000,0.000000,top
"Q2","AO3401A","SOT-23",162.600000,-63.800000,0.000000,top
"Q3","FS8205","SOT95P280X145-6N",136.500000,-76.900000,180.000000,top
"Q4","BSS138","SOT-23",114.100000,-65.600000,180.000000,top
"Q5","BSS138","SOT-23",119.200000,-65.600000,0.000000,top
"R1","10k","R_1206_3216Metric",118.600000,-73.200000,0.000000,top
"R2","10k","R_1206_3216Metric",137.900000,-64.500000,180.000000,top
"R3","1k","R_1206_3216Metric",129.100000,-66.700000,-90.000000,top
"R4","5k1","R_1206_3216Metric",114.800000,-75.700000,-90.000000,top
"R5","120","R_1206_3216Metric",171.100000,-56.800000,90.000000,top
"R6","22k","R_1206_3216Metric",157.900000,-56.800000,0.000000,top
"R7","178k","R_1206_3216Metric",157.900000,-59.200000,180.000000,top
"R8","100","R_1206_3216Metric",125.820000,-76.800000,180.000000,top
"R9","0.05","R_1206_3216Metric",149.000000,-67.600000,90.000000,top
"R10","1k","R_1206_3216Metric",136.200000,-81.300000,180.000000,top
"R11","5k1","R_1206_3216Metric",109.800000,-75.700000,-90.000000,top
"R12","10k","R_1206_3216Metric",122.900000,-21.200000,90.000000,top
"R13","10k","R_1206_3216Metric",120.500000,-21.200000,90.000000,top
"R14","10k","R_1206_3216Metric",157.100000,-37.662500,-90.000000,top
"R15","10k","R_1206_3216Metric",159.600000,-37.662500,-90.000000,top
"R16","10k","R_1206_3216Metric",161.960000,-37.662500,-90.000000,top
"R17","4k 1% or better","R_1206_3216Metric",159.037500,-49.400000,0.000000,top
"U1","XC6220B331MR","SOT-23-5",133.000000,-66.300000,90.000000,top
"U2","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",102.000000,-74.500000,90.000000,top
"U3","MS5611-01BA","LGA-8_3x5mm_P1.25mm",116.000000,-21.100000,-90.000000,top
"U4","RFM95W-868S2","HOPERF_RFM9XW_THT",145.207500,-40.707500,180.000000,top
"U5","ESP32-WROOM-32D","ESP32-WROOM-32",116.700000,-42.300000,90.000000,top
"U6","MAX17048G","SON50P200X200X80-9N",123.700000,-60.400000,90.000000,top
"U7","MAX31865xTP","TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm",159.290000,-44.990000,90.000000,top
