"Comment","Designator","Footprint","LCSC Part #"
"1.0u","C1,C2","C_1206_3216Metric","C107185"
"10u","C3","C_1206_3216Metric","C92797"
"47u/16V","C4,C9","CP_Elec_5x5.3","C134798"
"10n","C5,C16","C_1206_3216Metric","C1846"
"100n","C6,C8,C11,C13,C14,C15","C_1206_3216Metric","C377067"
"22n","C7","C_1206_3216Metric","C105982"
"220n","C10","C_1206_3216Metric","C377090"
"1u","C12","C_1206_3216Metric","C107185"
"BAT60A","D1","D_SOD-323","C117485"
"LED","D2","LED_1206_3216Metric","C84273"
"SSB43L","D5,D6","D_SMB","C222519"
"CN3791","IC1","SSOP10","C154992"
"DW01A","IC2","SOT23-6","C351410"
"82u","L1","L_12x12mm_H8mm","C504035"
"USB_C_Plug_USB2.0","P1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"IRLML6401","Q1","SOT-23","C347501"
"AO3401A","Q2","SOT-23","C15127"
"FS8205","Q3","SOT95P280X145-6N","C908265"
"BSS138","Q4,Q5","SOT-23","C2938375"
"10k","R1,R2,R12,R13,R14,R15,R16","R_1206_3216Metric","C118075"
"1k","R3,R10","R_1206_3216Metric","C4410"
"5k1","R4,R11","R_1206_3216Metric","C104846"
"120","R5","R_1206_3216Metric","C114928"
"22k","R6","R_1206_3216Metric","C25830"
"178k","R7","R_1206_3216Metric","C159670"
"100","R8","R_1206_3216Metric","C25348"
"0.05","R9","R_1206_3216Metric","C149662"
"4k 1% or better","R17","R_1206_3216Metric","C1711912"
"XC6220B331MR","U1","SOT-23-5","C86534"
"CH340C","U2","SOIC-16_3.9x9.9mm_P1.27mm","C84681"
"MS5611-01BA","U3","LGA-8_3x5mm_P1.25mm","C37148"
"ESP32-WROOM-32D","U5","ESP32-WROOM-32","C473012"
"MAX17048G","U6","SON50P200X200X80-9N","C2682616"
"MAX31865xTP","U7","TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm","C118474"
