Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C4,C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02,,1
300k,R31,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
Address Select,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
1k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
IRF9540N,Q2,TO-220-3_Horizontal_TabDown,,1
10k,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
AZ1117-3.3,U3,SOT-223,,1
INA226,U5,VSSOP-10_3x3mm_P0.5mm,,1
0.05,R_SNS1,R_2512_6332Metric,,1
1.3M,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
0.025,R_Sense1,R_2512_6332Metric,,1
D_Schottky,D1,D_SOD-123,,1
Conn_Coaxial,J1,SMA_Amphenol_132203-12_Horizontal,,1
0.1uF,C1,C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02,,1
10k,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
100u/25V,C6,CP_Radial_D5.0mm_P2.50mm,,1
10k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
BAT,J7,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,,1
0.1uF,C2,C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02,,1
1.7M,R21,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
LoRa-E5,U1,LoRa-E5,,1
100u/25V,C3,CP_Radial_D5.0mm_P2.50mm,,1
BQ2057WSN,U6,SOIC127P599X175-8N,,1
PANEL,J4,TerminalBlock_RND_205-00012_1x02_P5.00mm_Horizontal,,1
I2C_OUT,I2C_Sensor_out1,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,,1
ICL7665,U2,DIP-8_W7.62mm_LongPads,,1
IRF9540N,Q1,TO-220-3_Horizontal_TabDown,,1
SWD,J3,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,,1
SW_Push,SW1,SW_SPST_CK_RS282G05A3,,1
MS5611,J2,PinHeader_1x07_P2.54mm_Vertical,,1
