Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02,168.375,-91.55,-90.0,top
C2,0.1uF,C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02,177.25,-59.525,0.0,top
C3,100u/25V,CP_Radial_D5.0mm_P2.50mm,95.7888,-69.4944,0.0,top
C4,0.1uF,C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02,142.5,-81.75,-90.0,top
C6,100u/25V,CP_Radial_D5.0mm_P2.50mm,177.719888,-52.425,0.0,top
D1,D_Schottky,D_SOD-123,168.3766,-84.9376,90.0,top
I2C_Sensor_out1,I2C_OUT,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,175.5502,-71.9917,0.0,top
J1,Conn_Coaxial,SMA_Amphenol_132203-12_Horizontal,89.408,-106.172,-90.0,top
J2,MS5611,PinHeader_1x07_P2.54mm_Vertical,73.4,-46.295,0.0,top
J3,SWD,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,73.3725,-81.113,-90.0,top
J4,PANEL,TerminalBlock_RND_205-00012_1x02_P5.00mm_Horizontal,175.5,-87.0,0.0,top
J7,BAT,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,153.2382,-47.7191,0.0,top
Q1,IRF9540N,TO-220-3_Horizontal_TabDown,150.65,-71.275,90.0,top
Q2,IRF9540N,TO-220-3_Horizontal_TabDown,132.9,-55.35,0.0,top
R1,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,125.95,-94.87,-90.0,top
R11,1.3M,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,121.4,-72.175,0.0,top
R2,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,143.075,-94.05,-90.0,top
R21,1.7M,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,117.9854,-94.8708,90.0,top
R3,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,138.45,-96.1,90.0,top
R31,300k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,121.9622,-94.87,-90.0,top
R4,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,135.45,-96.1,90.0,top
R_SNS1,0.05,R_2512_6332Metric,161.7726,-88.265,-90.0,top
R_Sense1,0.025,R_2512_6332Metric,154.4066,-57.023,90.0,top
SW1,SW_Push,SW_SPST_CK_RS282G05A3,106.7054,-78.6892,-90.0,top
U1,LoRa-E5,LoRa-E5,94.488,-81.788,0.0,top
U2,ICL7665,DIP-8_W7.62mm_LongPads,121.94,-80.485,-90.0,top
U3,AZ1117-3.3,SOT-223,164.4142,-52.5526,-90.0,top
U5,INA226,VSSOP-10_3x3mm_P0.5mm,164.1856,-61.0362,0.0,top
U6,BQ2057WSN,SOIC127P599X175-8N,150.0,-83.0,-90.0,top
