Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,0.1u,
"C3, C6",C_Elec_6.3x7.7,2,100u/25V,
C4,1206,1,0.1uF,
D1,D_SOD-123,1,D_Schottky,
I2C_SENSOR_OUT1,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,I2C_OUT,
J1,SMA_Amphenol_132203-12_Horizontal,1,Conn_Coaxial,
J2,PinHeader_1x07_P2.54mm_Vertical,1,MS5611,
J3,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,SWD,
J4,TerminalBlock_RND_205-00012_1x02_P5.00mm_Horizontal,1,PANEL,
J7,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,BAT,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Address Select,
"Q1, Q2",TO-263-2,2,IRF9540N,
"R1, R3, R4",2512,3,10k,
R11,2512,1,1.3M,
R2,2512,1,1k,
R21,2512,1,1.7M,
R31,2512,1,300k,
R_SENSE1,2512,1,0.025,
R_SNS1,2512,1,0.05,
SW1,SW_SPST_CK_RS282G05A3,1,SW_Push,
U1,LoRa-E5,1,LoRa-E5,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ICL7665,
U3,SOT-223,1,AZ1117-3.3,
U5,VSSOP-10_3x3mm_P0.5mm,1,INA226,
U6,SOIC127P599X175-8N,1,BQ2057WSN,
