Designator,Mid X,Mid Y,Rotation,Layer
C1,168.3258,-90.0938,270.0,top
C2,174.7774,-59.5376,0.0,top
C3,94.5388,-69.4944,180.0,top
C4,142.494,-82.1436,270.0,top
C6,173.6852,-52.4256,180.0,top
D1,168.3766,-84.9376,90.0,top
I2C_SENSOR_OUT1,175.5502,-71.9917,0.0,top
J1,89.408,-106.172,270.0,top
J2,73.4,-46.295,0.0,top
J3,73.3725,-81.113,270.0,top
J4,175.5,-87.0,0.0,top
J7,153.2382,-47.7191,0.0,top
Q1,161.7218,-73.5584,90.0,top
Q2,137.0,-57.0,180.0,top
R1,126.3396,-86.9442,270.0,top
R11,123.8504,-73.9902,180.0,top
R2,143.0,-97.0,90.0,top
R21,116.0526,-81.026,270.0,top
R3,132.0,-91.0,270.0,top
R31,122.3518,-86.9442,270.0,top
R4,132.0292,-82.7024,90.0,top
R_SENSE1,154.4066,-57.023,90.0,top
R_SNS1,161.7726,-88.265,270.0,top
SW1,106.7054,-78.6892,270.0,top
U1,94.488,-81.788,0.0,top
U2,123.7996,-79.8068,90.0,top
U3,164.4142,-52.5526,90.0,top
U5,164.1856,-61.0362,0.0,top
U6,150.0,-83.0,270.0,top
