"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","0.1u","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2",""
"C3,C6","100u/25V","~","Capacitor_SMD:C_Elec_6.3x7.7","2",""
"C4","0.1uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"D1","D_Schottky","~","Diode_SMD:D_SOD-123","1",""
"I2C_Sensor_out1","I2C_OUT","~","Connector_JST:JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical","1",""
"J1","Conn_Coaxial","~","Connector_Coaxial:SMA_Amphenol_132203-12_Horizontal","1",""
"J2","MS5611","~","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","1",""
"J3","SWD","~","Connector_JST:JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical","1",""
"J4","PANEL","~","TerminalBlock_RND:TerminalBlock_RND_205-00012_1x02_P5.00mm_Horizontal","1",""
"J7","BAT","~","Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal","1",""
"JP1","Address Select","~","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","1",""
"Q1,Q2","IRF9540N","http://www.irf.com/product-info/datasheets/data/irf9540n.pdf","Package_TO_SOT_SMD:TO-263-2","2",""
"R1,R3,R4","10k","~","Resistor_SMD:R_2512_6332Metric","3",""
"R2","1k","~","Resistor_SMD:R_2512_6332Metric","1",""
"R11","1.3M","~","Resistor_SMD:R_2512_6332Metric","1",""
"R21","1.7M","~","Resistor_SMD:R_2512_6332Metric","1",""
"R31","300k","~","Resistor_SMD:R_2512_6332Metric","1",""
"R_Sense1","0.025","~","Resistor_SMD:R_2512_6332Metric","1",""
"R_SNS1","0.05","~","Resistor_SMD:R_2512_6332Metric","1",""
"SW1","SW_Push","~","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","1",""
"U1","LoRa-E5","","LoRa-E5:LoRa-E5","1",""
"U2","ICL7665","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U3","AZ1117-3.3","https://www.diodes.com/assets/Datasheets/AZ1117.pdf","Package_TO_SOT_SMD:SOT-223","1",""
"U5","INA226","http://www.ti.com/lit/ds/symlink/ina226.pdf","Package_SO:VSSOP-10_3x3mm_P0.5mm","1",""
"U6","BQ2057WSN","","BQ2057WSN:SOIC127P599X175-8N","1",""
